Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
CMCSA,Comcast,-14,-6,-12,-6,-38,-24,-2,-14,8,-32,-70
PYPL,PayPal,1,-17,-3,-26,-45,-1,-11,-2,-28,-42,-87
TTWO,Take-Two Interactive,-39,0,0,0,-39,-48,-10,2,7,-49,-88
KDP,Keurig Dr Pepper,-40,0,12,-1,-29,-52,-7,9,-15,-65,-94
CSGP,CoStar Group,-10,-40,-6,0,-56,-17,-31,-7,16,-39,-95
CSCO,Cisco,-16,-36,-14,-4,-70,-20,6,-35,12,-37,-107
KHC,Kraft Heinz,-54,-29,-5,-2,-90,7,-42,-3,-12,-50,-140
EXC,Exelon,-61,-21,-43,-2,-127,-10,-28,5,-11,-44,-171
DLTR,Dollar Tree,-2,-68,-14,-2,-86,6,-78,-9,-9,-90,-176
XEL,Xcel Energy,-39,-6,-61,-6,-112,-38,-15,1,-14,-66,-178
ILMN,"Illumina, Inc.",0,-68,-64,-27,-159,15,-1,-7,-27,-20,-179
LULU,Lululemon,-58,-74,-10,0,-142,-9,-36,-15,8,-52,-194
SBUX,Starbucks,-77,-7,-28,-3,-115,-80,-9,-25,-3,-117,-232
WBD,Warner Bros. Discovery,-14,-19,-47,-29,-109,-31,-17,-55,-32,-135,-244
WBA,Walgreens Boots Alliance,-47,-108,-116,-65,-336,-59,-120,-19,-24,-222,-558
